x =  0.09004775 	dxcalc =  4.499771e-05 	f(x) =  -94.12789	dist =  2.045052
x =  0.09009275 	dxcalc =  4.30765e-05 	f(x) =  -96.17199	dist =  2.044103
x =  0.09013582 	dxcalc =  4.127418e-05 	f(x) =  -98.21518	dist =  2.043191
x =  0.09376795 	dxcalc =  3.056285e-05 	f(x) =  99.60062	f'(x) =  -65438.91
x =  0.09379851 	dxcalc =  3.167012e-05 	f(x) =  97.6359	dist =  1.964722
x =  0.09383018 	dxcalc =  3.283734e-05 	f(x) =  95.67177	dist =  1.964128
x =  0.09386302 	dxcalc =  3.406881e-05 	f(x) =  93.70825	dist =  1.963515
x =  0.09389709 	dxcalc =  3.536924e-05 	f(x) =  91.74537	dist =  1.962883
x =  0.09393246 	dxcalc =  3.674374e-05 	f(x) =  89.78314	dist =  1.962229
x =  0.0939692 	dxcalc =  3.819792e-05 	f(x) =  87.82159	dist =  1.961554
x =  0.0940074 	dxcalc =  3.97379e-05 	f(x) =  85.86073	dist =  1.960857
x =  0.09404714 	dxcalc =  4.137037e-05 	f(x) =  83.9006	dist =  1.960135
x =  0.09408851 	dxcalc =  4.31027e-05 	f(x) =  81.94121	dist =  1.959389
x =  0.09413161 	dxcalc =  4.494295e-05 	f(x) =  79.98259	dist =  1.958617
x =  0.09417655 	dxcalc =  4.690001e-05 	f(x) =  78.02477	dist =  1.957817
x =  0.09422345 	dxcalc =  4.898367e-05 	f(x) =  76.06778	dist =  1.956989
x =  0.09427244 	dxcalc =  5.120472e-05 	f(x) =  74.11165	dist =  1.956131
x =  0.09432364 	dxcalc =  5.35751e-05 	f(x) =  72.15641	dist =  1.955243
x =  0.09437722 	dxcalc =  5.610802e-05 	f(x) =  70.20209	dist =  1.954321
x =  0.09443333 	dxcalc =  5.88181e-05 	f(x) =  68.24872	dist =  1.953366
x =  0.09449214 	dxcalc =  6.17216e-05 	f(x) =  66.29635	dist =  1.952375
x =  0.09455387 	dxcalc =  6.48366e-05 	f(x) =  64.345	dist =  1.951346
x =  0.0946187 	dxcalc =  6.818322e-05 	f(x) =  62.39472	dist =  1.950279
x =  0.09468688 	dxcalc =  7.178394e-05 	f(x) =  60.44555	dist =  1.949172
x =  0.09475867 	dxcalc =  7.566384e-05 	f(x) =  58.49753	dist =  1.948022
x =  0.09483433 	dxcalc =  7.985103e-05 	f(x) =  56.5507	dist =  1.946829
x =  0.09491418 	dxcalc =  8.437698e-05 	f(x) =  54.60511	dist =  1.94559
x =  0.09499856 	dxcalc =  8.927706e-05 	f(x) =  52.66081	dist =  1.944305
x =  0.09508784 	dxcalc =  9.4591e-05 	f(x) =  50.71783	dist =  1.942971
x =  0.09518243 	dxcalc =  0.0001003635 	f(x) =  48.77625	dist =  1.941589
x =  0.09528279 	dxcalc =  0.0001066451 	f(x) =  46.83609	dist =  1.940156
x =  0.09538944 	dxcalc =  0.0001134924 	f(x) =  44.89742	dist =  1.938673
x =  0.09550293 	dxcalc =  0.0001209698 	f(x) =  42.96028	dist =  1.93714
x =  0.0956239 	dxcalc =  0.0001291496 	f(x) =  41.02472	dist =  1.935558
x =  0.09575305 	dxcalc =  0.0001381137 	f(x) =  39.09079	dist =  1.933928
x =  0.09589116 	dxcalc =  0.0001479541 	f(x) =  37.15854	dist =  1.932254
x =  0.09603912 	dxcalc =  0.000158775 	f(x) =  35.22799	dist =  1.930541
x =  0.09619789 	dxcalc =  0.0001706928 	f(x) =  33.2992	dist =  1.928796
x =  0.09636858 	dxcalc =  0.0001838384 	f(x) =  31.37217	dist =  1.927029
x =  0.09655242 	dxcalc =  0.0001983572 	f(x) =  29.44692	dist =  1.925254
x =  0.09675078 	dxcalc =  0.0002144098 	f(x) =  27.52343	dist =  1.923488
x =  0.09696519 	dxcalc =  0.0002321717 	f(x) =  25.60167	dist =  1.921757
x =  0.09719736 	dxcalc =  0.0002518316 	f(x) =  23.68158	dist =  1.920092
x =  0.09744919 	dxcalc =  0.0002735871 	f(x) =  21.76304	dist =  1.918535
x =  0.09772278 	dxcalc =  0.000297639 	f(x) =  19.84591	dist =  1.917138
x =  0.09802042 	dxcalc =  0.0003241787 	f(x) =  17.92994	dist =  1.915969
x =  0.0983446 	dxcalc =  0.000353372 	f(x) =  16.01482	dist =  1.915114
x =  0.09869797 	dxcalc =  0.0003853319 	f(x) =  14.10014	dist =  1.914681
x =  0.0990833 	dxcalc =  0.0004200826 	f(x) =  12.18534	dist =  1.914799
x =  0.09950338 	dxcalc =  0.0004575092 	f(x) =  10.26971	dist =  1.915629
